white_pixels,contour,label,contours
1165059,,400,3060.0
1164861,,400,3150.0
1162460,,400,3250.0
1164710,,400,3307.0
1163232,,400,3476.0
1164951,,400,3205.0
1162284,,400,3376.0
1163043,,400,3180.0
1165767,,400,3199.0
1163184,,400,3349.0
1168106,,400,3244.0
1166736,,400,3255.0
1165205,,400,3205.0
1166472,,400,3097.0
1172078,,400,3410.0
1167920,,400,3359.0
1168011,,400,3288.0
1170353,,400,3351.0
1170137,,400,3168.0
1169532,,400,2984.0
1167886,,400,3198.0
1165825,,400,3213.0
1160947,,400,3248.0
1165033,,400,3189.0
1167089,,400,3323.0
1164892,,400,3203.0
1163611,,400,3206.0
1167317,,400,3090.0
1171430,,400,3089.0
1168044,,400,3303.0
1166319,,400,3337.0
1166168,,400,3232.0
1169528,,400,3252.0
1160915,,400,3127.0
1165026,,400,3132.0
1164882,,400,3133.0
1162130,,400,3144.0
1161898,,400,3359.0
1166914,,400,3178.0
1163954,,400,3248.0
1165601,,400,3211.0
1165047,,400,3231.0
1168228,,400,3240.0
1163988,,400,3326.0
1160103,,400,3248.0
1164359,,400,3258.0
1164368,,400,3070.0
1161209,,400,3047.0
1162816,,400,2982.0
1162022,,400,3011.0
